Legende	layer.Nr	THICK	STONEF	PSIF	THETAF	THSAT	BEXP	KF	WETINF	SWATMX
1	1	0.25	0.1	-25	0.365	0.485	5.3	13.1	0.92	109.125
1	2	0.3	0.1	-8.5	0.324	0.451	5.39	6.3	0.92	121.77
1	3	0.25	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	90.2
1	4	0.1	0.1	-14.8	0.402	0.476	8.52	7.3	0.92	42.84
1	5	0.1	0.2	-14.8	0.402	0.476	8.52	7.3	0.92	38.08
2	1	0.05	0.1	-8.5	0.324	0.451	5.39	6.3	0.92	20.295
2	2	0.25	0.1	-8.5	0.324	0.451	5.39	6.3	0.92	101.475
2	3	0.5	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	180.4
3	1	0.25	0.1	-25	0.365	0.485	5.3	13.1	0.92	109.125
3	2	0.25	0.4	-7.9	0.266	0.435	4.9	5.5	0.92	65.25
3	3	0.5	0.2	-7.9	0.266	0.435	4.9	5.5	0.92	174
4	1	0.1	0.1	-25	0.365	0.485	5.3	13.1	0.92	43.65
4	2	0.5	0.1	-8.5	0.324	0.451	5.39	6.3	0.92	202.95
4	3	0.2	0.1	-8.5	0.324	0.451	5.39	6.3	0.92	81.18
4	4	0.4	0.1	-25	0.365	0.485	5.3	13.1	0.92	174.6
4	5	0.2	0	-25	0.365	0.485	5.3	13.1	0.92	97
5	1	0.02	0.4	-7.9	0.266	0.435	4.9	5.5	0.92	5.22
5	2	0.53	0.6	-8.5	0.324	0.451	5.39	6.3	0.92	95.612
5	3	0.65	0.6	-8.5	0.324	0.451	5.39	6.3	0.92	117.26
5	4	0.2	0.2	-7.9	0.266	0.435	4.9	5.5	0.92	69.6
6	1	0.04	0.1	-7.9	0.266	0.435	4.9	5.5	0.92	15.66
6	2	0.16	0.1	-7.9	0.266	0.435	4.9	5.5	0.92	62.64
6	3	0.1	0.2	-7.9	0.266	0.435	4.9	5.5	0.92	34.8
6	4	0.7	0.4	-7.9	0.266	0.435	4.9	5.5	0.92	182.7
7	1	0.05	0	-7.9	0.266	0.435	4.9	5.5	0.92	21.75
7	2	0.15	0	-7.9	0.266	0.435	4.9	5.5	0.92	65.25
7	3	0.2	0.2	-7.9	0.266	0.435	4.9	5.5	0.92	69.6
7	4	0.7	0.6	-3.8	0.203	0.41	4.38	3.5	0.92	114.8
9	1	0.08	0	-7.9	0.266	0.435	4.9	5.5	0.92	34.8
9	2	0.07	0	-7.9	0.266	0.435	4.9	5.5	0.92	30.45
9	3	0.2	0	-7.9	0.266	0.435	4.9	5.5	0.92	87
9	4	0.85	0.1	-7.9	0.266	0.435	4.9	5.5	0.92	332.775
10	1	0.25	0	-8.5	0.324	0.451	5.39	6.3	0.92	112.75
10	2	0.25	0.1	-14.8	0.402	0.476	8.52	7.3	0.92	107.1
10	3	0.5	0.1	-7.9	0.266	0.435	4.9	5.5	0.92	195.75
11	1	0.1	0.1	-8.5	0.324	0.451	5.39	6.3	0.92	40.59
11	2	0.2	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	72.16
11	3	0.15	0	-8.5	0.324	0.451	5.39	6.3	0.92	67.65
11	4	0.3	0	-25	0.365	0.485	5.3	13.1	0.92	145.5
11	5	0.2	0	-7.9	0.266	0.435	4.9	5.5	0.92	87
11	6	0.35	0	-7.9	0.266	0.435	4.9	5.5	0.92	152.25
12	1	0.1	0	-25	0.365	0.485	5.3	13.1	0.92	48.5
12	2	0.1	0.4	-25	0.365	0.485	5.3	13.1	0.92	29.1
12	3	0.22	0	-25	0.365	0.485	5.3	13.1	0.92	106.7
12	4	0.08	0	-6	0.397	0.477	7.75	4.9	0.92	38.16
12	5	0.2	0	-7.7	0.425	0.482	11.4	4.3	0.94	96.4
12	6	0.2	0	-14.8	0.402	0.476	8.52	7.3	0.92	95.2
12	7	0.3	0.4	-7.9	0.266	0.435	4.9	5.5	0.92	78.3
13	1	0.1	0	-25	0.365	0.485	5.3	13.1	0.92	48.5
13	2	0.31	0	-25	0.365	0.485	5.3	13.1	0.92	150.35
13	3	0.69	0	-25	0.365	0.485	5.3	13.1	0.92	334.65
13	4	0.2	0.6	-8.5	0.324	0.451	5.39	6.3	0.92	36.08
13	5	0.2	0	-8.5	0.324	0.451	5.39	6.3	0.92	90.2
14	1	0.12	0	-25	0.365	0.485	5.3	13.1	0.92	58.2
14	2	0.23	0	-25	0.365	0.485	5.3	13.1	0.92	111.55
14	3	0.35	0	-25	0.365	0.485	5.3	13.1	0.92	169.75
15	1	0.25	0.53	-7.9	0.266	0.435	4.9	5.5	0.92	51.1125
16	1	0.2	0	-25	0.365	0.485	5.3	13.1	0.92	97
16	2	0.25	0	-6	0.397	0.477	7.75	4.9	0.92	119.25
16	3	0.35	0	-6	0.397	0.477	7.75	4.9	0.92	166.95
18	1	1	0	-7.9	0.266	0.435	4.9	5.5	0.92	435
19	1	0.3	0.75	-7.9	0.266	0.435	4.9	5.5	0.92	32.625
20	1	0.3	0.1	-8.5	0.324	0.451	5.39	6.3	0.92	121.77
20	2	0.35	0.1	-8.5	0.324	0.451	5.39	6.3	0.92	142.065
20	3	0.15	0.1	-25	0.365	0.485	5.3	13.1	0.92	65.475
20	4	0.2	0.1	-14.8	0.402	0.476	8.52	7.3	0.92	85.68
22	1	0.25	0.57	-14.8	0.402	0.476	8.52	7.3	0.92	51.17
23	1	0.06	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	21.648
23	2	0.14	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	50.512
23	3	0.1	0.9	-8.5	0.324	0.451	5.39	6.3	0.92	4.51
24	1	0.15	0.75	-8.5	0.324	0.451	5.39	6.3	0.92	16.9125
25	1	0.1	0.1	-14.8	0.402	0.476	8.52	7.3	0.92	42.84
25	2	0.2	0.4	-8.5	0.324	0.451	5.39	6.3	0.92	54.12
25	3	0.3	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	108.24
25	4	0.2	0.4	-8.5	0.324	0.451	5.39	6.3	0.92	54.12
26	1	0.07	0.1	-25	0.365	0.485	5.3	13.1	0.92	30.555
26	2	0.38	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	137.104
26	3	0.1	0.9	-7.9	0.266	0.435	4.9	5.5	0.92	4.35
27	1	0.25	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	90.2
27	2	0.35	0.4	-7.9	0.266	0.435	4.9	5.5	0.92	91.35
27	3	0.2	0.6	-3.8	0.203	0.41	4.38	3.5	0.92	32.8
28	1	0.6	0.6	-8.5	0.324	0.451	5.39	6.3	0.92	108.24
29	1	0.02	0.2	-25	0.365	0.485	5.3	13.1	0.92	7.76
29	2	0.33	0.2	-7.9	0.266	0.435	4.9	5.5	0.92	114.84
29	3	0.35	0.4	-7.9	0.266	0.435	4.9	5.5	0.92	91.35
29	4	0.1	0.9	-8.5	0.324	0.451	5.39	6.3	0.92	4.51
30	1	0.2	0.6	-8.5	0.324	0.451	5.39	6.3	0.92	36.08
30	2	0.15	0.9	-8.5	0.324	0.451	5.39	6.3	0.92	6.765
31	1	0.06	0.1	-8.5	0.324	0.451	5.39	6.3	0.92	24.354
31	2	0.54	0.6	-7	0.188	0.395	4.05	4	0.92	85.32
31	3	0.15	0.6	-7	0.188	0.395	4.05	4	0.92	23.7
32	1	0.05	0.1	-8.5	0.324	0.451	5.39	6.3	0.92	20.295
32	2	0.2	0.1	-8.5	0.324	0.451	5.39	6.3	0.92	81.18
32	3	0.45	0.4	-8.5	0.324	0.451	5.39	6.3	0.92	121.77
32	4	0.3	0.6	-8.5	0.324	0.451	5.39	6.3	0.92	54.12
33	1	0.07	0.2	-8.5	0.324	0.451	5.39	6.3	0.92	25.256
33	2	0.43	0.6	-7.9	0.266	0.435	4.9	5.5	0.92	74.82
33	3	0.4	0.4	-8.5	0.324	0.451	5.39	6.3	0.92	108.24
