"clc_111";"clc_112";"clc_121";"clc_122";"clc_123";"clc_124";"clc_131";"clc_132";"clc_133";"clc_141";"clc_142";"clc_211";"clc_221";"clc_222";"clc_231";"clc_242";"clc_243";"clc_311";"clc_312";"clc_313";"clc_321";"clc_322";"clc_324";"clc_331";"clc_333";"clc_411";"clc_412";"clc_511";"clc_512";"expression"
"532142";;0,0405;;;;;;;;;0,0742;0,0162;;;0,2286;;0,3346;;0,2548;0,0511;;;;;;;;;;"0.0405 * clc_112 + 0.0742 * clc_142 + 0.0162 * clc_211 + 0.2286 * clc_231 + 0.3346 * clc_243 + 0.2548 * clc_312 + 0.0511 * clc_313"
"5321611";;;;;;;;;;;;;;;0,198;;;;0,7872;0,0148;;;;;;;;;;"0.198 * clc_231 + 0.7872 * clc_312 + 0.0148 * clc_313"
"5321612";;;;;;;;;;;;;;;0,0221;;;;0,9779;;;;;;;;;;;"0.0221 * clc_231 + 0.9779 * clc_312"
"5321613";;;;;;;;;;;;;;;0,4153;;;;0,5764;0,0083;;;;;;;;;;"0.4153 * clc_231 + 0.5764 * clc_312 + 0.0083 * clc_313"
"5321614";;;;;;;;;;;;;;;0,5525;;;;0,2153;0,2322;;;;;;;;;;"0.5525 * clc_231 + 0.2153 * clc_312 + 0.2322 * clc_313"
"5321615";;;;;;;;;;;;;;;0,7336;;;;0,0228;0,2435;;;;;;;;;;"0.7336 * clc_231 + 0.0228 * clc_312 + 0.2435 * clc_313"
"5321616";;;;;;;;;;;;;;;0,8547;;;;0,1451;3e-04;;;;;;;;;;"0.8547 * clc_231 + 0.1451 * clc_312 + 3e-04 * clc_313"
"5321619";;;;;;;;;;;;0,1583;;;0,4593;;0,0391;;0,3186;0,0247;;;;;;;;;;"0.1583 * clc_211 + 0.4593 * clc_231 + 0.0391 * clc_243 + 0.3186 * clc_312 + 0.0247 * clc_313"
"53216211";;;;;;;;;;;;0,2293;;;;0,003;6e-04;;0,6663;0,1008;;;;;;;;;;"0.2293 * clc_211 + 0.003 * clc_242 + 6e-04 * clc_243 + 0.6663 * clc_312 + 0.1008 * clc_313"
"53216212";;;;;;;;;;;;0,0457;;;0,0063;;;;0,7634;0,1846;;;;;;;;;;"0.0457 * clc_211 + 0.0063 * clc_231 + 0.7634 * clc_312 + 0.1846 * clc_313"
"53216214";;;;;;;;;;;;0,0198;;;0,3515;;;;0,5358;0,0929;;;;;;;;;;"0.0198 * clc_211 + 0.3515 * clc_231 + 0.5358 * clc_312 + 0.0929 * clc_313"
"53216219";;;;;;;;;;;;0,0653;;;;;;;;0,9347;;;;;;;;;;"0.0653 * clc_211 + 0.9347 * clc_313"
"5321629";;;;;;;;;;;;0,0863;;;0,1226;;0,0252;;0,758;0,0079;;;;;;;;;;"0.0863 * clc_211 + 0.1226 * clc_231 + 0.0252 * clc_243 + 0.758 * clc_312 + 0.0079 * clc_313"
"5321691";;0,026;;;;;0,0364;;;;;0,2981;;;0,2738;;0,0844;0,0035;0,259;0,0188;;;;;;;;;;"0.026 * clc_112 + 0.0364 * clc_131 + 0.2981 * clc_211 + 0.2738 * clc_231 + 0.0844 * clc_243 + 0.0035 * clc_311 + 0.259 * clc_312 + 0.0188 * clc_313"
"5321692";;0,0092;;;;;;;;;0,0062;0,3177;;;0,3214;;0,1146;0,025;0,0476;0,1418;;;;;;;0,0165;;;"0.0092 * clc_112 + 0.0062 * clc_142 + 0.3177 * clc_211 + 0.3214 * clc_231 + 0.1146 * clc_243 + 0.025 * clc_311 + 0.0476 * clc_312 + 0.1418 * clc_313 + 0.0165 * clc_412"
"532181111";;;;;;;;;;;;;;;0,7577;;;;0,2423;;;;;;;;;;;"0.7577 * clc_231 + 0.2423 * clc_312"
"532181112";;;;;;;;;;;;;;;0,0449;;;;0,9551;;;;;;;;;;;"0.0449 * clc_231 + 0.9551 * clc_312"
"532181113";;;;;;;;;;;;;;;0;;;;1;;;;;;;;;;;"0 * clc_231 + 1 * clc_312"
"532181114";;;;;;;;;;;;;;;5e-04;;;;0,9995;;;;;;;;;;;"5e-04 * clc_231 + 0.9995 * clc_312"
"532181119";;;;;;;;;;;;0,0138;;;0,0979;;0,0327;0,178;0,6777;;;;;;;;;;;"0.0138 * clc_211 + 0.0979 * clc_231 + 0.0327 * clc_243 + 0.178 * clc_311 + 0.6777 * clc_312"
"53218112";;;;;;;;;;;;;;;0,3668;;1e-04;;0,6332;;;;;;;;;;;"0.3668 * clc_231 + 1e-04 * clc_243 + 0.6332 * clc_312"
"53218113";;;;;;;;;;0,1114;;0,3531;;;;;0,2417;0,0132;0,2806;;;;;;;;;;;"0.1114 * clc_141 + 0.3531 * clc_211 + 0.2417 * clc_243 + 0.0132 * clc_311 + 0.2806 * clc_312"
