OBJECTID;GKZ;ZONE_CODE;COUNT;AREA;MIN;MAX;RANGE;MEAN;STD;SUM;VARIETY;MAJORITY;MINORITY;MEDIAN
1;5321616;1;2586;1616250,000000000000000;51778;75595;23817;57722,318638824436000;5161,363094382182700;149269916,000000000000000;2244;53942;51778;55143
2;5321611;2;1623;1014375,000000000000000;58627;74486;15859;67122,184226740603000;3540,739452857666500;108939305,000000000000000;1513;65131;58627;66881
3;5321629;3;4538;2836250,000000000000000;47993;57304;9311;52635,542089025999000;1805,650070060431500;238860090,000000000000000;3179;53510;47993;52814
4;5321612;4;1815;1134375,000000000000000;58463;75183;16720;68655,707988980721000;3851,952925689304300;124610110,000000000000000;1696;68916;58463;69011
5;53216214;5;4692;2932500,000000000000000;52692;75875;23183;61475,212702472294000;7315,266291207677600;288441698,000000000000000;3933;52705;52692;59568
6;53216212;6;1852;1157500,000000000000000;52704;70265;17561;60115,047516198705000;5555,050460110399400;111333068,000000000000000;1700;52708;52712;59992
7;532142;7;4227;2641875,000000000000000;60635;75031;14396;69656,761769576537000;3117,855800967027300;294439132,000000000000000;3489;70936;60635;70122
8;5321619;8;4959;3099375,000000000000000;48179;55365;7186;51715,411776567853000;1342,908245558714000;256456727,000000000000000;3090;53050;48179;51801
9;5321692;9;1882;1176250,000000000000000;52309;63871;11562;58548,391073326246000;2557,574084509058600;110188072,000000000000000;1666;56967;52309;58318
10;5321613;10;403;251875,000000000000000;55159;63061;7902;59046,833746898265000;1831,566286458132700;23795874,000000000000000;393;55627;55159;59064
11;5321614;11;681;425625,000000000000000;55135;65304;10169;60692,754772393542000;2587,554561924290300;41331766,000000000000000;657;57061;55135;61161
12;53216219;12;43;26875,000000000000000;52668;52913;245;52727,000000000000000;41,896328306683337;2267261,000000000000000;27;52708;52668;52712
13;5321615;13;2490;1556250,000000000000000;51848;65928;14080;56042,071084337353000;2642,533962076951000;139544757,000000000000000;2104;54690;51848;55374
14;56611619;14;42;26250,000000000000000;54176;55813;1637;54959,976190476191000;522,259399518693160;2308319,000000000000000;42;54176;54176;54928
15;53216211;15;6763;4226875,000000000000000;52698;67883;15185;57009,488096998371000;4486,947857422887900;385555168,000000000000000;4392;52933;52698;55064
16;532181112;16;891;556875,000000000000000;67150;75081;7931;71637,664421997761000;2161,425150941493500;63829159,000000000000000;832;69311;67150;71569
17;532181113;17;299;186875,000000000000000;66888;74675;7787;70180,842809364549000;2384,960028981548000;20984072,000000000000000;293;67235;66888;69705
18;532181111;18;1872;1170000,000000000000000;67069;75175;8106;70710,839209401704000;1407,552905938067600;132370691,000000000000000;1531;69880;67069;70569
19;532181114;19;805;503125,000000000000000;66949;74666;7717;71450,849689440991000;1786,165843611699300;57517934,000000000000000;742;71645;66949;72036
20;5321691;20;5876;3672500,000000000000000;47505;66817;19312;56737,611640571820000;4564,539810843920300;333390206,000000000000000;4626;53866;47505;55402
21;532181181;21;6400;4000000,000000000000000;53243;70191;16948;61825,074843750001000;3217,537837897861200;395680479,000000000000000;4930;62286;53243;62057
22;53218112;22;4459;2786875,000000000000000;58247;71789;13542;64910,848396501460000;2860,257887362474800;289437473,000000000000000;3631;65006;58247;64806
23;532181189;23;1295;809375,000000000000000;51649;59453;7804;55086,010038610038000;1958,083168135516400;71336383,000000000000000;1180;52476;51649;54930
24;53218116;24;15288;9555000,000000000000000;54444;75214;20770;64394,759877027733000;3871,677269524195300;984467089,000000000000000;9431;64761;54444;64167
25;53218113;25;1832;1145000,000000000000000;57370;64406;7036;60430,200873362446000;1923,778242424312800;110708128,000000000000000;1572;58354;57370;60056
26;53218119;26;836;522500,000000000000000;50907;58014;7107;53250,379186602870000;1755,253216099890600;44517317,000000000000000;768;51307;50907;52751
27;532181119;27;5320;3325000,000000000000000;58302;72471;14169;64253,827067669175000;3150,886105016516500;341830360,000000000000000;4172;60291;58302;64554
28;53218114;28;2464;1540000,000000000000000;57486;70681;13195;63558,173295454544000;3106,002579383137300;156607339,000000000000000;2231;61664;57486;63648
29;53218115;29;6014;3758750,000000000000000;54453;66775;12322;59480,801629531095000;2253,693420361416000;357717541,000000000000000;4292;58384;54453;59312
30;532181182;30;2077;1298125,000000000000000;53184;64895;11711;59055,726528647087000;2872,049259969921400;122658744,000000000000000;1903;57228;53184;58688
31;5321813;31;1039;649375,000000000000000;50645;59498;8853;54345,180943214633000;2180,981090212323600;56464643,000000000000000;964;52875;50645;54217
32;5321812;32;5278;3298750,000000000000000;50969;63624;12655;56959,099658961728000;2649,927061976783500;300630128,000000000000000;4135;54755;50969;56902
33;53218117;33;6544;4090000,000000000000000;51608;63763;12155;57798,624235941323000;2677,384322783741900;378234197,000000000000000;4786;60729;51608;57696
34;566116122;34;2402;1501250,000000000000000;57275;70750;13475;64610,982514571187000;3239,133159505256100;155195580,000000000000000;2147;66960;57275;65294
35;566116121;35;2110;1318750,000000000000000;57285;68328;11043;63305,953080568717000;2926,402175387312600;133575561,000000000000000;1923;59215;57285;63293
36;566116129;36;402;251250,000000000000000;55864;59662;3798;57725,278606965177000;931,669283448338430;23205562,000000000000000;384;56137;55864;57659
37;56611614;37;5394;3371250,000000000000000;54468;70547;16079;60677,094920281794000;3269,894672627590800;327292250,000000000000000;4209;60523;54468;60068
38;5661162;38;4857;3035625,000000000000000;54233;63614;9381;59900,857525221327000;1876,858295952546800;290938465,000000000000000;3422;59162;54252;60185
39;56611642;39;4341;2713125,000000000000000;53355;68366;15011;60383,699378023499000;2956,582084106852600;262125639,000000000000000;3600;59296;53355;60402
40;56611634;40;9841;6150625,000000000000000;51484;67053;15569;59305,914033126712000;2564,248064936380200;583629500,000000000000000;6043;57910;51484;59468
41;56611639;41;1590;993750,000000000000000;50667;60986;10319;55661,266666666670000;3235,372721904410800;88501414,000000000000000;1474;51031;50667;55215
42;56611641;42;2554;1596250,000000000000000;53693;68350;14657;59404,246671887238000;3565,653874879159000;151718446,000000000000000;2284;55364;53693;58513
